keys,en,fr
TITLE,"Crunch Time","L'Heure de Pointe"
SUBTITLE,"Survive your shift","Survis ton quart"
PLAY,"Play","Jouer"
TUTORIAL,"Tutorial","Tutoriel"
SETTINGS,"Settings","Paramètres"
QUIT,"Quit","Quitter"
BACK,"Back","Retour"
LANGUAGE,"Language","Langue"
ENGLISH,"English","Anglais"
FRENCH,"French","Français"
DISPLAY_MODE,"Display Mode","Mode d'affichage"
FULLSCREEN,"Fullscreen","Plein écran"
WINDOWED,"Windowed","Fenêtré"
MUSIC_VOLUME,"Music Volume","Volume Musique"
SFX_VOLUME,"SFX Volume","Volume Effets"
TUTORIAL_TITLE,"How to Play","Comment Jouer"
TUTORIAL_GOAL,"Survive the 90-second shift without your stress reaching maximum.","Survis aux 90 secondes sans que ton stress atteigne le maximum."
TUTORIAL_MOVE,"Move: WASD or Arrow Keys","Déplacement : WASD ou flèches"
TUTORIAL_ACTION,"Action: SPACE (handle a task)","Action : ESPACE (gérer une tâche)"
TUTORIAL_FOCUS,"Focus Burst: SHIFT (slow time, costs Focus)","Concentration : MAJ (ralentit le temps)"
TUTORIAL_PAUSE,"Pause: ESC","Pause : ESC"
TUTORIAL_TASK,"Walk to a task icon, then press SPACE when the moving marker is in the green zone.","Marche vers une icône, puis appuie sur ESPACE quand le marqueur est dans la zone verte."
TUTORIAL_PERFECT,"Perfect timing gives bonus Focus and score.","Un timing parfait donne un bonus de concentration."
TUTORIAL_FAIL,"Missed or expired tasks raise your stress.","Les tâches manquées augmentent ton stress."
TUTORIAL_TIP,"Tip: Use Focus Burst when many tasks pile up!","Conseil : Utilise la concentration quand les tâches s'accumulent !"
START,"Start","Commencer"
TIME,"Time","Temps"
SCORE,"Score","Score"
STRESS,"Stress","Stress"
FOCUS,"Focus","Concentration"
PRESS_SPACE,"SPACE","ESPACE"
PERFECT,"Perfect!","Parfait !"
GOOD,"Good","Bien"
MISS,"Miss","Raté"
EXPIRED,"Expired","Expiré"
PAUSED,"Paused","Pause"
RESUME,"Resume","Reprendre"
RESTART,"Restart","Recommencer"
MAIN_MENU,"Main Menu","Menu Principal"
WIN_TITLE,"Shift Complete!","Quart Terminé !"
LOSE_TITLE,"Burnt Out","Épuisé"
WIN_MSG,"You survived the crunch.","Tu as survécu à la pression."
LOSE_MSG,"The pressure caught up with you.","La pression t'a rattrapé."
FINAL_SCORE,"Final Score","Score Final"
TASKS_DONE,"Tasks Completed","Tâches Complétées"
ON,"On","Activé"
OFF,"Off","Désactivé"
